Disease,Description
Fungal infection,Fungal infection is a common skin condition caused by fungi.
Allergy,Allergy is an immune system reaction to a substance in the environment.
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition."
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
hepatitis A,hepatitis A is a viral liver disease.
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.
Common Cold,Common Cold is a viral infection of the upper respiratory tract.
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs."
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches."
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.
Acute Sinusitis,"Acute sinusitis is inflammation of the sinuses usually caused by infection leading to nasal congestion, facial pain, and headache."
Gastritis,"Gastritis is inflammation of the stomach lining that may cause abdominal pain, nausea, indigestion, and loss of appetite."
Bronchitis,"Bronchitis is inflammation of the bronchial tubes causing cough, mucus production, fatigue, and breathing discomfort."
Tonsillitis,Tonsillitis is inflammation of the tonsils often caused by viral or bacterial infection resulting in sore throat and fever.
Conjunctivitis,"Conjunctivitis, also known as pink eye, is inflammation of the eye conjunctiva causing redness, irritation, and discharge."
Food Poisoning,"Food poisoning occurs after consuming contaminated food and causes symptoms such as vomiting, diarrhea, and abdominal pain."
Dengue,"Dengue is a mosquito-borne viral infection causing high fever, severe headache, muscle pain, and fatigue."
Typhoid,"Typhoid fever is a bacterial infection caused by Salmonella typhi leading to prolonged fever, weakness, and abdominal pain."
Pneumonia,"Pneumonia is an infection that inflames the air sacs in the lungs causing cough, fever, and breathing difficulty."
Kidney Infection,"Kidney infection is a urinary tract infection that spreads to the kidneys causing fever, nausea, and abdominal pain."
Urinary Tract Infection,Urinary tract infection is an infection in the urinary system causing burning urination and frequent urge to urinate.
Hyperthyroidism,"Hyperthyroidism occurs when the thyroid gland produces excess hormones leading to weight loss, sweating, and nervousness."
Anxiety Disorder,"Anxiety disorder is a mental health condition characterized by excessive worry, restlessness, and difficulty concentrating."
Depression Disorder,"Depression disorder is a mood disorder that causes persistent sadness, fatigue, and loss of interest in daily activities."
Heat Stroke,Heat stroke is a severe heat-related illness caused by prolonged exposure to high temperatures leading to high body temperature and dizziness.
Motion Sickness,"Motion sickness occurs when movement causes nausea, dizziness, and vomiting due to conflicting signals to the brain."
Ear Infection,"Ear infection is an inflammation or infection of the middle ear causing pain, fever, and hearing discomfort."
Allergic Rhinitis,"Allergic rhinitis is an allergic reaction causing sneezing, nasal congestion, and runny nose."
Migraine Variant,"Migraine variant is a type of migraine that may include severe headache, visual disturbances, and sensitivity to light."
