disease,workout
Fungal infection,Avoid sugary foods
Fungal infection,Consume probiotics
Fungal infection,Increase intake of garlic
Fungal infection,Include yogurt in diet
Fungal infection,Limit processed foods
Fungal infection,Stay hydrated
Fungal infection,Consume green tea
Fungal infection,Eat foods rich in zinc
Fungal infection,Include turmeric in diet
Fungal infection,Eat fruits and vegetables
Allergy,Avoid allergenic foods
Allergy,Consume anti-inflammatory foods
Allergy,Include omega-3 fatty acids
Allergy,Stay hydrated
Allergy,Eat foods rich in vitamin C
Allergy,Include quercetin-rich foods
Allergy,Consume local honey
Allergy,Limit processed foods
Allergy,Include ginger in diet
Allergy,Avoid artificial additives
GERD,Consume smaller meals
GERD,"Avoid trigger foods (spicy, fatty)"
GERD,Eat high-fiber foods
GERD,Limit caffeine and alcohol
GERD,Chew food thoroughly
GERD,Avoid late-night eating
GERD,Consume non-citrus fruits
GERD,Include lean proteins
GERD,Stay hydrated
GERD,Avoid carbonated beverages
Chronic cholestasis,Consume a low-fat diet
Chronic cholestasis,Eat high-fiber foods
Chronic cholestasis,Include healthy fats
Chronic cholestasis,Limit alcohol consumption
Chronic cholestasis,Stay hydrated
Chronic cholestasis,Consume antioxidant-rich foods
Chronic cholestasis,Include omega-3 fatty acids
Chronic cholestasis,Include lean proteins
Chronic cholestasis,Limit processed foods
Chronic cholestasis,Avoid fried foods
Drug Reaction,Discontinue offending medication
Drug Reaction,Stay hydrated
Drug Reaction,Include anti-inflammatory foods
Drug Reaction,Consume antioxidants
Drug Reaction,Avoid trigger foods
Drug Reaction,Include omega-3 fatty acids
Drug Reaction,Limit caffeine and alcohol
Drug Reaction,Stay hydrated
Drug Reaction,Eat a balanced diet
Drug Reaction,Consult a healthcare professional
Peptic ulcer disease,"Consume smaller, more frequent meals"
Peptic ulcer disease,"Avoid trigger foods (spicy, acidic)"
Peptic ulcer disease,Include high-fiber foods
Peptic ulcer disease,Limit caffeine and alcohol
Peptic ulcer disease,Stay hydrated
Peptic ulcer disease,Consume probiotics
Peptic ulcer disease,Include lean proteins
Peptic ulcer disease,Include antioxidant-rich foods
Peptic ulcer disease,Limit processed foods
Peptic ulcer disease,Avoid smoking and alcohol
AIDS,Follow a balanced and nutritious diet
AIDS,Include lean proteins
AIDS,Consume nutrient-rich foods
AIDS,Stay hydrated
AIDS,Include healthy fats
AIDS,Avoid raw or undercooked foods
AIDS,Limit sugary foods and beverages
AIDS,Consume immune-boosting foods
AIDS,Take prescribed supplements
AIDS,Consult a healthcare professional
Diabetes,Monitor carbohydrate intake
Diabetes,Eat balanced meals
Diabetes,Include lean proteins
Diabetes,Consume high-fiber foods
Diabetes,Stay hydrated
Diabetes,Limit sugary foods and beverages
Diabetes,Include healthy fats
Diabetes,Monitor blood sugar levels
Diabetes,Consult a registered dietitian
Diabetes,Take prescribed medications as directed
Gastroenteritis,Stay hydrated
Gastroenteritis,Consume clear fluids
Gastroenteritis,"Follow the BRAT diet (bananas, rice, applesauce, toast)"
Gastroenteritis,Include bland foods
Gastroenteritis,Avoid fatty and greasy foods
Gastroenteritis,Limit caffeine and alcohol
Gastroenteritis,Avoid spicy foods
Gastroenteritis,Consult a healthcare professional
Gastroenteritis,Gradually reintroduce solid foods
Gastroenteritis,Avoid dairy products
Bronchial Asthma,Include anti-inflammatory foods
Bronchial Asthma,Consume omega-3 fatty acids
Bronchial Asthma,Limit sodium intake
Bronchial Asthma,Stay hydrated
Bronchial Asthma,Include antioxidant-rich foods
Bronchial Asthma,Avoid sulfite-containing foods
Bronchial Asthma,Limit processed foods
Bronchial Asthma,Consume magnesium-rich foods
Bronchial Asthma,Consult a healthcare professional
Bronchial Asthma,Avoid trigger foods
Hypertension,Follow the DASH diet (Dietary Approaches to Stop Hypertension)
Hypertension,Limit sodium intake
Hypertension,Include potassium-rich foods
Hypertension,Stay hydrated
Hypertension,Consume calcium-rich foods
Hypertension,Limit alcohol consumption
Hypertension,Include magnesium-rich foods
Hypertension,Consume omega-3 fatty acids
Hypertension,Limit processed foods
Hypertension,Consult a healthcare professional
Migraine,Identify and avoid trigger foods
Migraine,Stay hydrated
Migraine,Include magnesium-rich foods
Migraine,Consume omega-3 fatty acids
Migraine,Limit caffeine and alcohol
Migraine,Consume riboflavin-rich foods
Migraine,Limit processed foods
Migraine,Maintain regular meal times
Migraine,Consult a healthcare professional
Migraine,Manage stress
Cervical spondylosis,Include anti-inflammatory foods
Cervical spondylosis,Consume omega-3 fatty acids
Cervical spondylosis,Include vitamin D-rich foods
Cervical spondylosis,Stay hydrated
Cervical spondylosis,Consume antioxidant-rich foods
Cervical spondylosis,Limit processed foods
Cervical spondylosis,Include lean proteins
Cervical spondylosis,Practice good posture
Cervical spondylosis,Consult a healthcare professional
Cervical spondylosis,Engage in regular exercise
Paralysis (brain hemorrhage),Follow a balanced and nutritious diet
Paralysis (brain hemorrhage),Include lean proteins
Paralysis (brain hemorrhage),Consume nutrient-rich foods
Paralysis (brain hemorrhage),Stay hydrated
Paralysis (brain hemorrhage),Include healthy fats
Paralysis (brain hemorrhage),Limit sugary foods and beverages
Paralysis (brain hemorrhage),Include antioxidants
Paralysis (brain hemorrhage),Consume foods rich in vitamin K
Paralysis (brain hemorrhage),Consult a healthcare professional
Paralysis (brain hemorrhage),Manage stress
Jaundice,Stay hydrated
Jaundice,Consume nutrient-rich foods
Jaundice,Include protein-rich foods
Jaundice,Consume easily digestible foods
Jaundice,Limit fatty foods
Jaundice,Avoid alcohol and caffeine
Jaundice,Include vitamin C-rich foods
Jaundice,Consult a healthcare professional
Jaundice,Rest and conserve energy
Jaundice,Gradually resume normal diet
Malaria,Stay hydrated
Malaria,Consume nutrient-rich foods
Malaria,Include protein-rich foods
Malaria,Consume foods rich in antioxidants
Malaria,Limit fatty and greasy foods
Malaria,Avoid alcohol and caffeine
Malaria,Include vitamin C-rich foods
Malaria,Consult a healthcare professional
Malaria,Rest and conserve energy
Malaria,Gradually resume normal diet
Chicken pox,Stay hydrated
Chicken pox,Include easily digestible foods
Chicken pox,Include vitamin C-rich foods
Chicken pox,Consume protein-rich foods
Chicken pox,Include zinc-rich foods
Chicken pox,Avoid spicy and acidic foods
Chicken pox,Consult a healthcare professional
Chicken pox,Practice good hygiene
Chicken pox,Rest and conserve energy
Chicken pox,Gradually resume normal diet
Dengue,Stay hydrated
Dengue,Include nutrient-rich foods
Dengue,Consume foods rich in vitamin C and antioxidants
Dengue,Limit fatty and greasy foods
Dengue,Avoid caffeine and alcohol
Dengue,Include soft and easily digestible foods
Dengue,Consult a healthcare professional
Dengue,Rest and conserve energy
Dengue,Gradually resume normal diet
Dengue,Follow medical recommendations
Typhoid,Consume easily digestible foods
Typhoid,Stay hydrated
Typhoid,Include nutrient-rich foods
Typhoid,Consume foods rich in vitamin C and antioxidants
Typhoid,Include protein-rich foods
Typhoid,Avoid fatty and greasy foods
Typhoid,Consult a healthcare professional
Typhoid,Gradually resume normal diet
Typhoid,Follow medical recommendations
Typhoid,Avoid alcohol and caffeine
hepatitis A,Stay hydrated
hepatitis A,Consume nutrient-rich foods
hepatitis A,Include protein-rich foods
hepatitis A,Consume easily digestible foods
hepatitis A,Limit fatty foods
hepatitis A,Avoid alcohol and caffeine
hepatitis A,Include vitamin C-rich foods
hepatitis A,Consult a healthcare professional
hepatitis A,Rest and conserve energy
hepatitis A,Gradually resume normal diet
Hepatitis B,Follow a balanced and nutritious diet
Hepatitis B,Stay hydrated
Hepatitis B,Include protein-rich foods
Hepatitis B,Consume nutrient-rich foods
Hepatitis B,Limit fatty foods
Hepatitis B,Avoid alcohol and caffeine
Hepatitis B,Include vitamin C-rich foods
Hepatitis B,Consult a healthcare professional
Hepatitis B,Rest and conserve energy
Hepatitis B,Gradually resume normal diet
Hepatitis C,Follow a balanced and nutritious diet
Hepatitis C,Stay hydrated
Hepatitis C,Include protein-rich foods
Hepatitis C,Consume nutrient-rich foods
Hepatitis C,Limit fatty foods
Hepatitis C,Avoid alcohol and caffeine
Hepatitis C,Include vitamin C-rich foods
Hepatitis C,Consult a healthcare professional
Hepatitis C,Rest and conserve energy
Hepatitis C,Gradually resume normal diet
Hepatitis D,Follow a balanced and nutritious diet
Hepatitis D,Stay hydrated
Hepatitis D,Include protein-rich foods
Hepatitis D,Consume nutrient-rich foods
Hepatitis D,Limit fatty foods
Hepatitis D,Avoid alcohol and caffeine
Hepatitis D,Include vitamin C-rich foods
Hepatitis D,Consult a healthcare professional
Hepatitis D,Rest and conserve energy
Hepatitis D,Gradually resume normal diet
Hepatitis E,Stay hydrated
Hepatitis E,Consume nutrient-rich foods
Hepatitis E,Include protein-rich foods
Hepatitis E,Consume easily digestible foods
Hepatitis E,Limit fatty foods
Hepatitis E,Avoid alcohol and caffeine
Hepatitis E,Include vitamin C-rich foods
Hepatitis E,Consult a healthcare professional
Hepatitis E,Rest and conserve energy
Hepatitis E,Gradually resume normal diet
Alcoholic hepatitis,Avoid alcohol consumption
Alcoholic hepatitis,Follow a balanced and nutritious diet
Alcoholic hepatitis,Stay hydrated
Alcoholic hepatitis,Consume nutrient-rich foods
Alcoholic hepatitis,Include protein-rich foods
Alcoholic hepatitis,Limit fatty foods
Alcoholic hepatitis,Include antioxidants
Alcoholic hepatitis,Consult a healthcare professional
Alcoholic hepatitis,Rest and conserve energy
Alcoholic hepatitis,Gradually resume normal diet
Tuberculosis,Consume a high-protein diet
Tuberculosis,Include nutrient-rich foods
Tuberculosis,Stay hydrated
Tuberculosis,Consume foods rich in vitamins A and C
Tuberculosis,Include zinc-rich foods
Tuberculosis,Limit sugary foods and beverages
